City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
225,padang,0,ID,1525368031,100,-0.92,100.36,84.41,4.94
226,puerto colombia,20,CO,1525366800,66,10.99,-74.96,91.4,11.41
227,surt,0,LY,1525368307,81,31.21,16.59,67.13,13.44
228,venado,20,MX,1525368307,55,22.93,-101.09,77.93,4.05
229,broken hill,0,AU,1525368307,84,-31.97,141.45,52.37,14.56
230,traverse city,90,US,1525365300,81,44.76,-85.62,55.4,4.7
231,upernavik,0,GL,1525368308,100,72.79,-56.15,11.6,2.59
232,pokhara,64,NP,1525368309,86,28.21,83.99,53.54,1.81
233,ribeira do pombal,56,BR,1525368309,62,-10.84,-38.54,82.61,13.0
234,lulea,90,SE,1525366200,100,65.58,22.15,35.6,2.24
235,knysna,40,ZA,1525363200,77,-34.04,23.05,60.8,5.82
236,filingue,0,NE,1525368310,37,14.35,3.32,95.66,2.93
237,san policarpo,44,PH,1525368311,100,12.18,125.51,77.21,4.05
238,lima,0,PE,1525368271,64,-12.06,-77.04,71.81,2.71
239,hami,36,CN,1525368311,27,42.84,93.51,61.46,11.77
240,turayf,75,SA,1525363200,28,31.68,38.65,80.6,9.17
241,nayudupeta,20,IN,1525368312,82,13.91,79.9,79.37,5.84
242,airai,92,TL,1525368312,95,-8.93,125.41,69.2,1.81
243,north bend,90,US,1525366560,81,43.41,-124.22,53.6,3.36
244,udachnyy,0,RU,1525368313,72,66.42,112.4,15.29,4.61
245,snezhnogorsk,0,RU,1525366800,26,69.19,33.23,44.6,6.71
246,yar-sale,56,RU,1525368315,69,66.83,70.83,9.89,8.63
247,kharitonovo,92,RU,1525368315,98,61.4,47.5,35.9,14.0
248,yelnya,8,RU,1525368315,46,54.58,33.19,67.76,8.97
249,wahiawa,90,US,1525367520,94,21.5,-158.02,75.2,4.7
250,havelock,5,US,1525366680,57,34.88,-76.9,80.6,10.29
251,hillside,90,US,1525367700,77,41.87,-87.88,75.2,9.17
252,mount gambier,92,AU,1525368317,98,-37.83,140.78,51.11,7.96
253,abha,36,SA,1525363200,29,18.22,42.5,75.2,11.41
254,birin,0,SY,1525368320,54,35.01,36.67,67.94,5.28
255,mahajanga,20,MG,1525363200,83,-15.72,46.32,78.8,4.7
256,port hueneme,20,US,1525366680,67,34.15,-119.2,62.6,6.93
257,chuy,24,UY,1525368322,92,-33.69,-53.46,73.25,14.79
258,batesville,90,US,1525366560,73,35.77,-91.64,78.8,9.17
259,ostersund,75,SE,1525366200,86,63.18,14.64,41.0,8.05
260,xinmin,0,CN,1525366800,42,42.0,122.83,44.6,2.24
261,sompeta,0,IN,1525368324,90,18.93,84.6,76.67,4.83
262,mandurah,0,AU,1525366800,93,-32.55,115.7,44.6,4.94
263,black river,20,JM,1525363200,62,18.03,-77.85,86.0,9.17
264,saint-philippe,90,CA,1525367940,88,45.36,-73.48,64.4,6.93
265,inhambane,40,MZ,1525363200,83,-23.87,35.38,78.8,3.36
266,harper,90,US,1525366500,78,30.3,-99.24,75.2,14.99
267,sakleshpur,20,IN,1525368327,99,12.94,75.79,68.93,2.15
